BJD - 2454833, Corrected Flux
2384.831509230, 1.000750377,
2384.851941752, 1.009926662,
2384.872374175, 1.045905633,
2384.913239018, 1.015470403,
2384.933671439, 1.015960961,
2384.954103960, 1.029056902,
2384.974536280, 1.017590707,
2384.994968699, 1.021704092,
2385.015401218, 1.001269485,
2385.035833637, 1.029825581,
2385.056265954, 1.006009875,
2385.076698472, 1.004519645,
2385.097130889, 1.011233020,
2385.117563305, 1.008920541,
2385.137995721, 1.002609307,
2385.158428136, 1.027991937,
2385.178860551, 1.002923910,
2385.199292965, 1.006242580,
2385.219725379, 1.004310920,
2385.240157793, 1.012854950,
2385.260590205, 1.013374620,
2385.281022618, 1.002847043,
2385.301455029, 1.008920971,
2385.321887441, 1.009623875,
2385.342319951, 1.047144497,
2385.362752261, 1.005671906,
2385.383184671, 1.009900919,
2385.403617181, 1.011530836,
2385.424049489, 1.001621267,
2385.444481897, 1.006951232,
2385.464914405, 1.008700220,
2385.485346712, 1.003673820,
2385.505779119, 1.000464992,
2385.526211625, 0.999255828,
2385.546643931, 1.005547322,
2385.567076436, 0.997986451,
2385.587508841, 0.996599863,
2385.607941245, 1.001028344,
2385.628373648, 0.997203511,
2385.648806052, 0.998256530,
2385.669238454, 1.001264313,
2385.689670856, 0.995197771,
2385.710103258, 0.998388942,
2385.730535659, 0.982473222,
2385.750968160, 0.987646995,
2385.771400460, 0.999845441,
2385.791832960, 0.983382725,
2385.812265359, 0.997780497,
2385.832697657, 0.993073086,
2385.853130155, 0.986448304,
2385.873562553, 0.991437765,
2385.893994850, 0.996721825,
2385.914427346, 0.995123111,
2385.934859743, 0.992160033,
2385.955292038, 0.992957840,
2385.975724533, 1.000019789,
2385.996156828, 0.996513350,
2386.016589222, 0.986651050,
2386.037021715, 0.978579879,
2386.057454008, 0.998162400,
2386.077886501, 1.000396673,
2386.098318893, 0.998308164,
2386.139183676, 0.995195461,
2386.159616066, 1.013540745,
2386.180048456, 0.985784807,
2386.200480846, 1.012866082,
2386.220913235, 0.982654627,
2386.241345623, 0.980798257,
2386.261778111, 0.991764844,
2386.282210399, 0.996276011,
2386.302642786, 0.996200174,
2386.323075272, 1.018228099,
2386.343507558, 1.015483759,
2386.384372429, 1.010219270,
2386.404804713, 1.001362519,
2386.425237197, 0.994531125,
2386.445669581, 1.017119095,
2386.466101864, 0.989567514,
2386.486534346, 1.006402802,
2386.506966728, 0.987866768,
2386.527399009, 1.014876546,
2386.547831490, 1.002281802,
2386.568263871, 1.009572751,
2386.588696251, 0.996815835,
2386.609128630, 0.986481206,
2386.629561009, 0.998339899,
2386.649993488, 0.999069442,
2386.670425766, 1.001679316,
2386.690858143, 0.988133327,
2386.711290520, 0.992886905,
2386.731722897, 0.997182839,
2386.752155273, 0.990143290,
2386.772587648, 0.989832886,
2386.793020023, 0.988843015,
2386.813452398, 0.993420743,
2386.833884872, 1.003130672,
2386.854317145, 0.986438561,
2386.874749518, 0.977136827,
2386.895181991, 0.985487301,
2386.915614263, 0.984243625,
2386.936046634, 1.009186241,
2386.956479105, 0.983289370,
2386.976911376, 1.009825601,
2386.997343846, 0.987515484,
2387.017776215, 0.994666550,
2387.038208484, 0.989136567,
2387.058640953, 1.012201182,
2387.079073321, 0.991925879,
2387.099505688, 0.991657089,
